"Wavelength (um)","Refractive index","Refractive index (calculated)","Extinction coefficient"
6.6816,1.53047,1.534825123,0.0385
6.7162,1.55656,1.550401413,0.0371
6.7512,1.56128,1.555464196,0.0167
6.7865,1.54797,1.548087558,0.00757
6.8223,1.53477,1.538108205,0.0121
6.8583,1.53216,1.537930167,0.0345
6.8948,1.55525,1.553299704,0.0496
6.9317,1.57473,1.56830316,0.0336
6.969,1.57327,1.57000549,0.0153
7.0066,1.56564,1.565316668,0.00867
7.0447,1.56021,1.56080419,0.00645
7.0832,1.55686,1.557109171,0.00555
7.1221,1.55434,1.553758432,0.00547
7.1615,1.55165,1.550659434,0.00664
7.2013,1.54919,1.54851157,0.00969
7.2415,1.54836,1.5483445,0.0139
7.2822,1.54989,1.550254362,0.0169
7.3233,1.55292,1.552920156,0.0169
7.3649,1.5543,1.554488939,0.0145
7.407,1.55372,1.554597931,0.0124
7.4496,1.55275,1.553921191,0.011
7.4926,1.55139,1.55296327,0.0103
7.5362,1.55114,1.551946095,0.0101
7.5803,1.55236,1.551110648,0.0103
7.6249,1.55343,1.550483316,0.0105
7.67,1.55343,1.549902856,0.0105
7.7156,1.55233,1.549138808,0.0103
7.7618,1.55192,1.548213982,0.0104
7.8086,1.55172,1.5468747,0.00992
7.8559,1.54956,1.544440441,0.00962
7.9038,1.54608,1.541536027,0.0121
7.9523,1.54331,1.539893325,0.0172
8.0014,1.542,1.540773284,0.0236
8.0511,1.54343,1.544386408,0.0289
8.1014,1.54802,1.549837537,0.0314
8.1524,1.55321,1.555241255,0.0298
8.204,1.55586,1.558952919,0.0257
8.2562,1.5564,1.560377673,0.0209
8.3091,1.55559,1.55988884,0.0171
8.3628,1.55301,1.558390508,0.0149
8.4171,1.55099,1.556943234,0.0144
8.4721,1.55104,1.556088482,0.0145
8.5278,1.5515,1.555297063,0.0138
8.5843,1.54998,1.554621012,0.0145
8.6415,1.5499,1.555131544,0.0155
8.6995,1.55147,1.555695326,0.0135
8.7583,1.55161,1.554516935,0.0106
8.8179,1.55022,1.552232685,0.01
8.8783,1.54766,1.550221972,0.0107
8.9395,1.54586,1.548642657,0.0115
9.0016,1.54482,1.547108989,0.0122
9.0645,1.5419,1.54516226,0.0128
9.1284,1.53896,1.542778064,0.0148
9.1931,1.53765,1.541046248,0.019
9.2588,1.53795,1.541274292,0.025
9.3254,1.54121,1.544333949,0.0306
9.393,1.54636,1.548479958,0.0318
9.4615,1.55001,1.551584843,0.0311
9.5311,1.55209,1.553457598,0.0306
9.6017,1.55102,1.554821623,0.0311
9.6733,1.55269,1.558347024,0.0354
9.7461,1.56222,1.56493887,0.0354
9.8199,1.56781,1.569191825,0.0262
