"Wavenumber (cm-1)","Refractive index","Extinction coefficient"
7645.137075,1.553771377,4.83354E-05
7644.654945,1.553771257,4.84063E-05
7644.172815,1.553771377,4.8413E-05
7643.690685,1.553771257,4.83678E-05
7643.208555,1.553771257,4.83537E-05
7642.726425,1.553771138,4.84159E-05
7642.244296,1.553771257,4.84956E-05
7641.762166,1.553771377,4.84824E-05
7641.280036,1.553771496,4.83501E-05
7640.797906,1.553771377,4.81812E-05
7640.315776,1.553771257,4.80852E-05
7639.833646,1.553771138,4.80981E-05
7639.351516,1.553771019,4.81731E-05
7638.869387,1.553771019,4.82472E-05
7638.387257,1.553771138,4.82763E-05
7637.905127,1.553771138,4.82392E-05
7637.422997,1.553771138,4.81391E-05
7636.940867,1.553771138,4.80168E-05
7636.458737,1.553771019,4.79388E-05
7635.976607,1.553770781,4.79488E-05
7635.494478,1.553770781,4.80115E-05
7635.012348,1.553770781,4.80574E-05
7634.530218,1.553770781,4.8047E-05
7634.048088,1.553770661,4.80054E-05
7633.565958,1.553770661,4.7979E-05
7633.083828,1.553770542,4.79899E-05
7632.601698,1.553770423,4.80326E-05
7632.119569,1.553770304,4.81087E-05
7631.637439,1.553770304,4.82157E-05
7631.155309,1.553770185,4.8328E-05
7630.673179,1.553770423,4.84003E-05
7630.191049,1.553770304,4.84091E-05
7629.708919,1.553770423,4.8374E-05
7629.226789,1.553770423,4.83387E-05
7628.744659,1.553770304,4.83354E-05
7628.26253,1.553770304,4.83704E-05
7627.7804,1.553770304,4.84401E-05
7627.29827,1.553770185,4.85276E-05
7626.81614,1.553770423,4.859E-05
7626.33401,1.553770423,4.85696E-05
7625.85188,1.553770542,4.8462E-05
7625.36975,1.553770423,4.83397E-05
7624.887621,1.553770423,4.82893E-05
7624.405491,1.553770304,4.83298E-05
7623.923361,1.553770304,4.83817E-05
7623.441231,1.553770304,4.83768E-05
7622.959101,1.553770304,4.8334E-05
7622.476971,1.553770185,4.83258E-05
7621.994841,1.553770185,4.83735E-05
7621.512712,1.553770185,4.84148E-05
7621.030582,1.553770185,4.83834E-05
7620.548452,1.553770185,4.83097E-05
7620.066322,1.553770065,4.82849E-05
