Microplastic fibers: 100 MP m-3
Mean net RF (W m-2):,-2.8620e-02
Mean Delta TOA up flux SW (W m-2):,3.2472e-01
Mean Delta TOA up flux LW (W m-2):,-2.9610e-01
Case,Pressure (Pa),Relative heating rate SW (K day-1),Relative downward diffuse flux SW (W m-2),Relative upward flux SW (W m-2),Relative heating rate LW (K day-1),Relative downward diffuse flux LW (W m-2),Relative upward flux LW (W m-2)
case3,62555,4.1640e-04,1.1659e+00,1.9797e-01,-2.9349e-04,2.7563e-01,-1.3806e-01
case3,66554,4.2880e-04,1.2848e+00,1.6632e-01,-9.2518e-04,2.9692e-01,-1.1816e-01
case3,70786,4.0197e-04,1.4100e+00,1.3243e-01,-9.4688e-04,3.2155e-01,-9.8175e-02
case3,75270,2.1410e-04,1.5397e+00,9.6283e-02,1.5998e-03,3.4682e-01,-7.7911e-02
case3,79992,-1.7929e-04,1.6619e+00,5.8426e-02,4.0147e-03,3.5695e-01,-5.8838e-02
case3,84997,-4.6921e-04,1.7760e+00,1.8066e-02,3.5380e-03,3.5019e-01,-4.1779e-02
case3,90242,-7.5531e-04,1.8949e+00,-2.5162e-02,3.9216e-03,3.4558e-01,-2.4384e-02
case3,92953,-9.8372e-04,1.9556e+00,-4.8157e-02,4.0807e-03,3.4171e-01,-1.5656e-02
case3,95725,-1.1742e-03,2.0176e+00,-7.2281e-02,4.1411e-03,3.3707e-01,-6.8359e-03
case3,97144,-1.4749e-03,2.0494e+00,-8.4946e-02,5.8651e-03,3.3472e-01,-2.2278e-03
case3,97778,0.0000e+00,2.0631e+00,-9.0759e-02,0.0000e+00,3.3255e-01,0.0000e+00
case4,10,5.7220e-06,0.0000e+00,1.9708e-01,-5.9128e-05,0.0000e+00,-2.4719e-01
case4,13,7.1526e-06,9.4529e-08,1.9708e-01,-7.8201e-05,0.0000e+00,-2.4719e-01
case4,17,9.0599e-06,2.2072e-07,1.9708e-01,-1.0872e-04,0.0000e+00,-2.4719e-01
case4,22,1.0967e-05,3.7812e-07,1.9708e-01,-1.4591e-04,0.0000e+00,-2.4719e-01
case4,29,1.2875e-05,5.9791e-07,1.9708e-01,-1.6785e-04,0.0000e+00,-2.4719e-01
case4,37,1.5259e-05,8.4937e-07,1.9708e-01,-1.8501e-04,0.0000e+00,-2.4721e-01
case4,48,1.9073e-05,1.1958e-06,1.9708e-01,-2.0027e-04,0.0000e+00,-2.4721e-01
case4,61,2.3842e-05,1.6093e-06,1.9708e-01,-2.1267e-04,0.0000e+00,-2.4719e-01
case4,77,2.8610e-05,2.1160e-06,1.9708e-01,-2.2125e-04,0.0000e+00,-2.4721e-01
case4,99,3.5286e-05,2.8089e-06,1.9708e-01,-2.2888e-04,0.0000e+00,-2.4721e-01
case4,126,4.3869e-05,3.6657e-06,1.9708e-01,-2.4128e-04,0.0000e+00,-2.4722e-01
case4,161,5.3406e-05,4.7684e-06,1.9708e-01,-2.5654e-04,0.0000e+00,-2.4724e-01
case4,206,6.2943e-05,6.1840e-06,1.9711e-01,-2.7370e-04,0.0000e+00,-2.4724e-01
case4,264,7.3433e-05,8.0168e-06,1.9711e-01,-2.7514e-04,0.0000e+00,-2.4727e-01
case4,340,8.0109e-05,1.0401e-05,1.9711e-01,-2.6703e-04,0.0000e+00,-2.4728e-01
case4,442,8.4877e-05,1.3620e-05,1.9714e-01,-2.6131e-04,0.0000e+00,-2.4731e-01
case4,577,8.5831e-05,1.7822e-05,1.9714e-01,-2.6274e-04,0.0000e+00,-2.4736e-01
case4,760,8.4400e-05,2.3603e-05,1.9714e-01,-2.6584e-04,0.0000e+00,-2.4742e-01
case4,1009,8.1539e-05,3.1590e-05,1.9720e-01,-2.7537e-04,0.0000e+00,-2.4750e-01
case4,1340,8.1301e-05,4.1962e-05,1.9724e-01,-2.9373e-04,0.0000e+00,-2.4760e-01
case4,1663,8.3208e-05,5.2094e-05,1.9730e-01,-3.2330e-04,0.0000e+00,-2.4773e-01
case4,2069,8.4639e-05,6.4850e-05,1.9736e-01,-3.5763e-04,0.0000e+00,-2.4788e-01
case4,2581,8.4639e-05,8.1062e-05,1.9739e-01,-3.7217e-04,0.0000e+00,-2.4809e-01
case4,3036,8.5592e-05,9.5367e-05,1.9748e-01,-3.8826e-04,0.0000e+00,-2.4829e-01
case4,3761,7.6652e-05,1.1826e-04,1.9754e-01,-3.9113e-04,0.0000e+00,-2.4863e-01
case4,4752,6.9737e-05,1.4925e-04,1.9766e-01,-4.0424e-04,0.0000e+00,-2.4908e-01
case4,5999,6.3419e-05,1.8883e-04,1.9781e-01,-4.1908e-04,0.0000e+00,-2.4969e-01
case4,7583,6.1512e-05,2.3890e-04,1.9800e-01,-4.6557e-04,0.0000e+00,-2.5047e-01
case4,9565,6.0081e-05,3.0136e-04,1.9821e-01,-5.2047e-04,0.0000e+00,-2.5157e-01
case4,12062,5.8115e-05,3.8147e-04,1.9846e-01,-5.6267e-04,0.0000e+00,-2.5310e-01
case4,14080,5.6565e-05,4.4537e-04,1.9867e-01,-5.8749e-04,0.0000e+00,-2.5446e-01
case4,16417,5.7697e-05,5.2071e-04,1.9891e-01,-5.8389e-04,0.0000e+00,-2.5607e-01
case4,19217,7.0572e-05,6.1035e-04,1.9916e-01,-5.8681e-04,0.0000e+00,-2.5803e-01
case4,22563,9.1434e-05,7.1907e-04,1.9955e-01,-6.2540e-04,0.0000e+00,-2.6035e-01
case4,26397,8.0544e-04,8.4305e-04,2.0010e-01,-3.5071e-04,0.0000e+00,-2.6320e-01
case4,28503,7.8845e-04,7.5960e-02,1.8594e-01,-6.8951e-04,1.7361e-02,-2.4670e-01
case4,30728,7.6735e-04,1.5450e-01,1.7114e-01,-1.0089e-03,3.5664e-02,-2.3022e-01
case4,33094,7.5984e-04,2.3719e-01,1.5555e-01,-1.1880e-03,5.4840e-02,-2.1388e-01
case4,35595,7.4935e-04,3.2325e-01,1.3943e-01,-1.5935e-03,7.3864e-02,-1.9838e-01
case4,38243,6.7490e-04,4.1282e-01,1.2286e-01,-2.4010e-03,9.3330e-02,-1.8391e-01
case4,41043,6.3646e-04,5.0790e-01,1.0474e-01,-2.8703e-03,1.1709e-01,-1.6815e-01
case4,44000,5.6922e-04,6.0739e-01,8.5724e-02,-3.0313e-03,1.4237e-01,-1.5292e-01
case4,47110,5.1939e-04,7.1033e-01,6.5948e-02,-3.2452e-03,1.6740e-01,-1.3907e-01
case4,50404,5.3313e-04,8.1784e-01,4.5258e-02,-3.9262e-03,1.9328e-01,-1.2589e-01
case4,53894,4.4215e-04,9.3143e-01,2.3132e-02,-3.6994e-03,2.2319e-01,-1.1221e-01
case4,57603,3.7414e-04,1.0495e+00,-6.1035e-05,-3.5914e-03,2.5232e-01,-9.9396e-02
case4,61529,-1.2493e-04,1.1718e+00,-2.4353e-02,-2.6488e-04,2.8136e-01,-8.7067e-02
case4,65690,4.3562e-04,1.2887e+00,-4.8218e-02,-4.1876e-03,2.9099e-01,-7.8735e-02
case4,70120,4.2436e-04,1.4227e+00,-7.4646e-02,-3.9709e-03,3.2446e-01,-6.7230e-02
case4,74857,2.9746e-04,1.5631e+00,-1.0263e-01,-3.3220e-03,3.5942e-01,-5.4596e-02
case4,79904,2.1994e-05,1.7074e+00,-1.3199e-01,-2.2769e-03,3.9233e-01,-4.1565e-02
case4,84154,-2.7442e-04,1.8231e+00,-1.5646e-01,-1.2189e-03,4.1350e-01,-3.1891e-02
case4,87481,-6.0773e-04,1.9096e+00,-1.7551e-01,-9.1434e-05,4.2505e-01,-2.5146e-02
case4,90928,-6.7580e-04,1.9949e+00,-1.9513e-01,-1.6034e-04,4.3172e-01,-1.8860e-02
case4,92409,-6.3789e-04,2.0312e+00,-2.0358e-01,-4.6790e-04,4.3445e-01,-1.6418e-02
case4,93913,-6.1953e-04,2.0680e+00,-2.1216e-01,-6.2156e-04,4.3765e-01,-1.4069e-02
case4,95443,-6.0904e-04,2.1053e+00,-2.2079e-01,-8.3601e-04,4.4113e-01,-1.1719e-02
case4,96982,-5.8198e-04,2.1428e+00,-2.2952e-01,-1.0743e-03,4.4484e-01,-9.5215e-03
case4,97765,-6.1285e-04,2.1619e+00,-2.3392e-01,-8.6963e-04,4.4688e-01,-8.4534e-03
case4,98555,-6.2335e-04,2.1810e+00,-2.3840e-01,-6.3324e-04,4.4876e-01,-7.4158e-03
case4,99350,-7.2181e-04,2.2000e+00,-2.4286e-01,-1.5879e-04,4.5055e-01,-6.2256e-03
case4,100170,-9.0802e-04,2.2193e+00,-2.4747e-01,5.8860e-04,4.5200e-01,-4.9133e-03
case4,100980,-1.1303e-03,2.2379e+00,-2.5208e-01,1.3782e-03,4.5276e-01,-3.5706e-03
case4,101790,-1.1610e-03,2.2560e+00,-2.5674e-01,1.2757e-03,4.5280e-01,-2.2278e-03
case4,102482,-1.2492e-03,2.2713e+00,-2.6074e-01,1.3266e-03,4.5290e-01,-1.0986e-03
case4,103173,0.0000e+00,2.2866e+00,-2.6477e-01,0.0000e+00,4.5290e-01,0.0000e+00
case5,10,5.7220e-06,0.0000e+00,1.9577e-01,-9.5367e-05,0.0000e+00,-2.3917e-01
case5,13,7.1526e-06,9.4529e-08,1.9577e-01,-1.2875e-04,0.0000e+00,-2.3917e-01
case5,17,8.5831e-06,2.2072e-07,1.9577e-01,-1.7929e-04,0.0000e+00,-2.3917e-01
case5,22,1.0490e-05,3.7812e-07,1.9580e-01,-2.3651e-04,0.0000e+00,-2.3918e-01
