Microplastics combined: 100 MP m-3
Mean net RF (W m-2):,-3.9991e-02
Mean Delta TOA up flux SW (W m-2):,2.8359e-01
Mean Delta TOA up flux LW (W m-2):,-2.4360e-01
Case,Pressure (Pa),Relative heating rate SW (K day-1),Relative downward diffuse flux SW (W m-2),Relative upward flux SW (W m-2),Relative heating rate LW (K day-1),Relative downward diffuse flux LW (W m-2),Relative upward flux LW (W m-2)
case2,28855,7.6294e-04,1.1086e-02,5.7797e-01,-2.4366e-04,0.0000e+00,-2.8940e-01
case2,30982,7.0274e-04,6.3997e-02,5.5379e-01,-5.5122e-04,2.0248e-02,-2.6978e-01
case2,33234,5.8270e-04,1.1938e-01,5.2831e-01,-5.1641e-04,4.1344e-02,-2.5012e-01
case2,35600,3.9160e-04,1.7640e-01,5.0185e-01,2.5988e-05,6.2157e-02,-2.3074e-01
case2,38110,3.8731e-04,2.3483e-01,4.7448e-01,-5.3525e-04,8.0833e-02,-2.1201e-01
case2,40759,2.7919e-04,2.9585e-01,4.4563e-01,-6.7234e-04,1.0139e-01,-1.9312e-01
case2,43547,2.4599e-04,3.5874e-01,4.1551e-01,-9.3222e-04,1.2218e-01,-1.7456e-01
case2,46490,9.7513e-05,4.2414e-01,3.8383e-01,-7.7808e-04,1.4455e-01,-1.5546e-01
case2,49605,-5.3978e-04,4.9162e-01,3.5055e-01,1.3869e-03,1.6666e-01,-1.3620e-01
case2,52877,-6.7401e-04,5.5707e-01,3.1660e-01,1.7066e-03,1.7863e-01,-1.1887e-01
case2,56319,-9.7263e-04,6.2353e-01,2.8155e-01,2.1875e-03,1.8793e-01,-1.0260e-01
case2,59927,-9.8765e-04,6.8984e-01,2.4556e-01,1.0622e-03,1.9307e-01,-8.8104e-02
case2,63720,-9.2006e-04,7.5794e-01,2.0807e-01,-3.8743e-05,2.0235e-01,-7.4066e-02
case2,67688,-1.4268e-03,8.2817e-01,1.6895e-01,1.1139e-03,2.1649e-01,-6.0089e-02
case2,71842,-1.5149e-03,8.9575e-01,1.2868e-01,1.7214e-03,2.2263e-01,-4.8462e-02
case2,76189,-1.7716e-03,9.6342e-01,8.7029e-02,3.6783e-03,2.2449e-01,-3.7720e-02
case2,80743,-1.6751e-03,1.0299e+00,4.3877e-02,3.6995e-03,2.1387e-01,-2.8473e-02
case2,85510,-1.7343e-03,1.0989e+00,-1.1749e-03,3.8638e-03,2.0209e-01,-1.9318e-02
case2,90480,-1.7798e-03,1.1694e+00,-4.8218e-02,3.6047e-03,1.8808e-01,-1.0559e-02
case2,93040,-1.8123e-03,1.2054e+00,-7.2540e-02,3.2308e-03,1.8130e-01,-6.4087e-03
case2,95664,-1.8406e-03,1.2420e+00,-9.7549e-02,2.8977e-03,1.7517e-01,-2.4719e-03
case2,97003,-1.8349e-03,1.2605e+00,-1.1035e-01,2.7274e-03,1.7230e-01,-7.3242e-04
case2,97577,0.0000e+00,1.2685e+00,-1.1584e-01,0.0000e+00,1.7117e-01,0.0000e+00
case3,7,1.2589e-04,0.0000e+00,3.9984e-01,-5.5313e-05,0.0000e+00,-3.2214e-01
case3,13,1.5068e-04,2.0778e-06,3.9984e-01,-7.4863e-05,0.0000e+00,-3.2214e-01
case3,22,1.7834e-04,5.1949e-06,3.9984e-01,-9.6798e-05,0.0000e+00,-3.2214e-01
case3,29,2.0695e-04,7.6182e-06,3.9986e-01,-1.2207e-04,0.0000e+00,-3.2214e-01
case3,37,2.4223e-04,1.0388e-05,3.9986e-01,-1.5640e-04,0.0000e+00,-3.2214e-01
case3,48,2.8992e-04,1.4201e-05,3.9987e-01,-1.9455e-04,0.0000e+00,-3.2214e-01
case3,62,3.4332e-04,1.9047e-05,3.9989e-01,-2.3365e-04,0.0000e+00,-3.2217e-01
case3,80,4.0817e-04,2.5280e-05,3.9989e-01,-2.6703e-04,0.0000e+00,-3.2214e-01
case3,102,4.9019e-04,3.2894e-05,3.9992e-01,-2.8419e-04,0.0000e+00,-3.2217e-01
case3,131,5.8937e-04,4.2938e-05,3.9993e-01,-2.9659e-04,0.0000e+00,-3.2217e-01
case3,169,7.2098e-04,5.6103e-05,3.9998e-01,-3.2711e-04,0.0000e+00,-3.2220e-01
case3,220,8.9645e-04,7.3746e-05,4.0004e-01,-3.8624e-04,0.0000e+00,-3.2220e-01
case3,287,1.1272e-03,9.6947e-05,4.0015e-01,-4.8828e-04,0.0000e+00,-3.2224e-01
case3,386,1.3590e-03,1.3122e-04,4.0030e-01,-6.2180e-04,0.0000e+00,-3.2230e-01
case3,505,1.5240e-03,1.7238e-04,4.0054e-01,-7.6079e-04,0.0000e+00,-3.2239e-01
case3,653,1.6108e-03,2.2364e-04,4.0086e-01,-9.0861e-04,0.0000e+00,-3.2251e-01
case3,866,1.6117e-03,2.9731e-04,4.0134e-01,-1.0765e-03,0.0000e+00,-3.2275e-01
case3,1197,1.5545e-03,4.1175e-04,4.0208e-01,-1.2292e-03,0.0000e+00,-3.2315e-01
case3,1502,1.4448e-03,5.1737e-04,4.0274e-01,-1.3365e-03,0.0000e+00,-3.2361e-01
case3,1880,1.2567e-03,6.4838e-04,4.0352e-01,-1.3809e-03,0.0000e+00,-3.2422e-01
case3,2361,1.0443e-03,8.1515e-04,4.0440e-01,-1.3914e-03,0.0000e+00,-3.2501e-01
case3,2972,8.2898e-04,1.0278e-03,4.0538e-01,-1.3720e-03,0.0000e+00,-3.2599e-01
case3,3745,5.9354e-04,1.2977e-03,4.0640e-01,-1.2572e-03,0.0000e+00,-3.2727e-01
case3,4729,3.7563e-04,1.6422e-03,4.0744e-01,-1.0265e-03,0.0000e+00,-3.2874e-01
case3,6023,2.0742e-04,2.0976e-03,4.0848e-01,-7.3948e-04,0.0000e+00,-3.3032e-01
case3,7660,1.2368e-04,2.6760e-03,4.0947e-01,-5.5403e-04,0.0000e+00,-3.3176e-01
case3,9807,9.5487e-05,3.4370e-03,4.1054e-01,-5.0963e-04,0.0000e+00,-3.3316e-01
case3,12555,9.2089e-05,4.4136e-03,4.1182e-01,-5.5097e-04,0.0000e+00,-3.3481e-01
case3,14722,8.7708e-05,5.1832e-03,4.1283e-01,-5.7206e-04,0.0000e+00,-3.3621e-01
