Microplastics boundary layer: 100 MP m-3
Mean net RF (W m-2):,-3.1625e-02
Mean Delta TOA up flux SW (W m-2):,4.5526e-02
Mean Delta TOA up flux LW (W m-2):,-1.3901e-02
Case,Pressure (Pa),Relative heating rate SW (K day-1),Relative downward diffuse flux SW (W m-2),Relative upward flux SW (W m-2),Relative heating rate LW (K day-1),Relative downward diffuse flux LW (W m-2),Relative upward flux LW (W m-2)
case2,63720,5.1379e-05,4.4594e-03,9.3544e-02,-1.0610e-04,0.0000e+00,-1.2115e-02
case2,67688,7.9274e-05,4.7340e-03,9.4063e-02,-2.0409e-04,0.0000e+00,-1.2634e-02
case2,71842,1.0133e-04,5.0278e-03,9.4742e-02,-2.9445e-04,0.0000e+00,-1.3641e-02
case2,76189,1.4627e-04,5.3291e-03,9.5566e-02,-5.3787e-04,0.0000e+00,-1.5167e-02
case2,80743,2.8050e-04,5.6458e-03,9.6672e-02,-1.8225e-03,0.0000e+00,-1.8036e-02
case2,85510,1.6952e-04,5.5191e-02,7.2487e-02,-1.5240e-03,1.4191e-02,-1.4160e-02
case2,90480,7.8440e-05,1.1868e-01,4.0237e-02,-1.3938e-03,2.8442e-02,-8.9111e-03
case2,93040,8.3447e-06,1.5708e-01,2.0233e-02,-1.4122e-03,3.5797e-02,-5.7983e-03
case2,95664,-4.7088e-05,2.0096e-01,-2.9678e-03,-1.5314e-03,4.3579e-02,-2.3804e-03
case2,97003,-7.1406e-05,2.2528e-01,-1.5961e-02,-1.5402e-03,4.7668e-02,-7.3242e-04
case2,97577,0.0000e+00,2.3613e-01,-2.1790e-02,0.0000e+00,4.9438e-02,0.0000e+00
case3,7,2.2888e-05,0.0000e+00,6.5857e-02,-3.8147e-06,0.0000e+00,-2.4353e-02
case3,13,2.7657e-05,3.8464e-07,6.5857e-02,-4.7684e-06,0.0000e+00,-2.4353e-02
case3,22,3.2425e-05,9.6206e-07,6.5857e-02,-5.7220e-06,0.0000e+00,-2.4353e-02
