Flux units are Wm-2/cm-1    
    wavn(cm-1) flxtoa_up     flxsfc_dn
     557.5     0.3331459     0.3798928
     558.5     0.3479151     0.3781914
     559.5     0.3472390     0.3780900
     560.5     0.3470421     0.3781828
     561.5     0.3480622     0.3779528
     562.5     0.3333476     0.3790527
     563.5     0.2941513     0.3821408
     564.5     0.3391029     0.3784980
     565.5     0.3394337     0.3783295
     566.5     0.3151177     0.3809793
     567.5     0.2688302     0.3840054
     568.5     0.3107105     0.3814888
     569.5     0.2668959     0.3841939
     570.5     0.3285142     0.3792734
     571.5     0.3132064     0.3809593
     572.5     0.3325447     0.3775884
     573.5     0.3343197     0.3774509
     574.5     0.3240075     0.3783136
     575.5     0.3017676     0.3816733
     576.5     0.2737606     0.3831210
     577.5     0.3141961     0.3780773
     578.5     0.3295580     0.3772291
     579.5     0.3068774     0.3778998
     580.5     0.2620209     0.3835112
     581.5     0.2909115     0.3804976
     582.5     0.3007695     0.3770605
     583.5     0.3314476     0.3764007
     584.5     0.2730941     0.3809773
     585.5     0.2969013     0.3771726
     586.5     0.3260670     0.3758173
     587.5     0.2931563     0.3758187
     588.5     0.2749778     0.3759782
     589.5     0.2289625     0.3759798
     590.5     0.2670372     0.3774623
     591.5     0.2431682     0.3824452
     592.5     0.2649517     0.3802361
     593.5     0.2620172     0.3767143
     594.5     0.2793553     0.3782744
     595.5     0.2476882     0.3776037
     596.5     0.2259087     0.3760291
     597.5     0.2555648     0.3755004
     598.5     0.2428149     0.3754977
     599.5     0.2616909     0.3766244
     600.5     0.2621169     0.3781608
     601.5     0.2322981     0.3752688
     602.5     0.2739422     0.3735296
     603.5     0.2435030     0.3746604
     604.5     0.2201186     0.3771556
     605.5     0.2712614     0.3729407
     606.5     0.2282615     0.3741294
     607.5     0.2200401     0.3738534
     608.5     0.2578989     0.3725672
     609.5     0.2224255     0.3735720
     610.5     0.2411567     0.3727107
     611.5     0.2417989     0.3723111
     612.5     0.2179698     0.3745798
     613.5     0.2489009     0.3730043
     614.5     0.2213653     0.3730224
     615.5     0.2174688     0.3752483
     616.5     0.1690620     0.3775583
     617.5     0.1821695     0.3788075
     618.5     0.2123909     0.3728974
     619.5     0.2233171     0.3712231
     620.5     0.2357138     0.3738214
     621.5     0.2460563     0.3704584
     622.5     0.1865897     0.3714806
     623.5     0.2203254     0.3708109
     624.5     0.2051111     0.3726487
     625.5     0.1645585     0.3759651
     626.5     0.1882509     0.3727689
     627.5     0.1779812     0.3716286
     628.5     0.1663070     0.3715363
     629.5     0.1665822     0.3718072
     630.5     0.1598059     0.3721192
     631.5     0.1615170     0.3710615
     632.5     0.1527730     0.3733293
     633.5     0.1548174     0.3739395
     634.5     0.1533034     0.3712958
     635.5     0.1497358     0.3736904
     636.5     0.1516690     0.3725689
     637.5     0.1459842     0.3717559
     638.5     0.1494928     0.3729461
     639.5     0.1505551     0.3722860
     640.5     0.1436095     0.3712055
     641.5     0.1493668     0.3723571
     642.5     0.1499167     0.3719991
     643.5     0.1431127     0.3708652
     644.5     0.1526577     0.3722692
     645.5     0.1526991     0.3714413
     646.5     0.1380502     0.3705655
     647.5     0.1630011     0.3719516
     648.5     0.1766045     0.3714958
     649.5     0.1629398     0.3711128
     650.5     0.1638305     0.3713713
     651.5     0.1535312     0.3705273
     652.5     0.1460385     0.3700632
     653.5     0.1614892     0.3706938
     654.5     0.1479588     0.3696262
     655.5     0.1509212     0.3694352
     656.5     0.1599269     0.3698081
     657.5     0.1442701     0.3686841
     658.5     0.1549378     0.3687447
     659.5     0.1582822     0.3690047
     660.5     0.1393830     0.3675383
     661.5     0.1552051     0.3677885
     662.5     0.1744150     0.3676725
     663.5     0.1549428     0.3664921
     664.5     0.1581971     0.3666677
     665.5     0.1545313     0.3659593
     666.5     0.1419886     0.3663337
     667.5     0.2339230     0.3672183
     668.5     0.2322071     0.3669340
     669.5     0.1898946     0.3664553
     670.5     0.1506657     0.3653492
     671.5     0.1575934     0.3651192
     672.5     0.1545058     0.3645940
     673.5     0.1401418     0.3638822
     674.5     0.1606497     0.3645014
     675.5     0.1425800     0.3634897
     676.5     0.1490220     0.3633041
     677.5     0.1588584     0.3636030
     678.5     0.1359975     0.3625103
     679.5     0.1554596     0.3626800
     680.5     0.1540309     0.3623414
     681.5     0.1335051     0.3612799
     682.5     0.1560814     0.3618557
     683.5     0.1440792     0.3607988
     684.5     0.1371909     0.3602933
     685.5     0.1507609     0.3606902
     686.5     0.1262013     0.3591397
     687.5     0.1464658     0.3599810
     688.5     0.1446480     0.3592934
     689.5     0.1309070     0.3579986
     690.5     0.1441125     0.3586460
     691.5     0.1338722     0.3570109
     692.5     0.1333585     0.3564881
     693.5     0.1357750     0.3572742
     694.5     0.1256003     0.3553802
     695.5     0.1372857     0.3558719
     696.5     0.1323921     0.3555773
     697.5     0.1308282     0.3542812
     698.5     0.1310603     0.3549156
     699.5     0.1309412     0.3519582
     700.5     0.1349524     0.3524392
     701.5     0.1325210     0.3522131
     702.5     0.1380777     0.3498904
     703.5     0.1397933     0.3516935
     704.5     0.1431335     0.3499069
     705.5     0.1433663     0.3511021
     706.5     0.1524670     0.3484693
     707.5     0.1584550     0.3481838
     708.5     0.1499577     0.3472720
     709.5     0.1575828     0.3460948
     710.5     0.1668401     0.3446689
     711.5     0.1711778     0.3443194
     712.5     0.1803506     0.3433167
     713.5     0.1575486     0.3461200
     714.5     0.1988554     0.3418877
     715.5     0.1883021     0.3414692
     716.5     0.1779476     0.3414871
     717.5     0.2086410     0.3396660
     718.5     0.1461420     0.3423644
     719.5     0.1294231     0.3454175
     720.5     0.1477680     0.3472924
     721.5     0.1780887     0.3391673
     722.5     0.2166818     0.3370804
     723.5     0.2066901     0.3370586
     724.5     0.2461407     0.3360431
     725.5     0.2007577     0.3368827
     726.5     0.2261731     0.3358450
     727.5     0.2197345     0.3357270
     728.5     0.1847043     0.3366065
     729.5     0.2138739     0.3367630
     730.5     0.1887506     0.3373074
     731.5     0.1862835     0.3360674
     732.5     0.2319620     0.3330485
     733.5     0.1906865     0.3343644
     734.5     0.1932667     0.3340294
     735.5     0.2353904     0.3316367
     736.5     0.1856859     0.3331036
     737.5     0.1971708     0.3325796
     738.5     0.2404722     0.3303598
     739.5     0.1952551     0.3318298
     740.5     0.1908455     0.3335065
     741.5     0.1755750     0.3314277
     742.5     0.2059418     0.3310224
     743.5     0.2193157     0.3293732
     744.5     0.2478318     0.3310502
     745.5     0.2235595     0.3285399
     746.5     0.2357715     0.3275496
     747.5     0.2709273     0.3262170
     748.5     0.2314449     0.3280364
     749.5     0.2445747     0.3259275
     750.5     0.2713956     0.3246951
     751.5     0.2429014     0.3250182
     752.5     0.2502112     0.3252513
     753.5     0.2757317     0.3243363
     754.5     0.2410233     0.3257571
     755.5     0.2650374     0.3231293
     756.5     0.2839632     0.3221425
     757.5     0.2576251     0.3218403
     758.5     0.2792186     0.3211861
     759.5     0.2924858     0.3205321
     760.5     0.2741727     0.3203566
     761.5     0.2817395     0.3197770
     762.5     0.2993270     0.3191395
     763.5     0.2821065     0.3188212
     764.5     0.2854714     0.3183373
     765.5     0.2987787     0.3177921
     766.5     0.2887007     0.3174283
     767.5     0.2888718     0.3171205
     768.5     0.2888351     0.3169807
     769.5     0.2901144     0.3164421
     770.5     0.2876486     0.3162367
     771.5     0.2912310     0.3151515
     772.5     0.2951769     0.3146944
     773.5     0.2961514     0.3142360
     774.5     0.2921004     0.3138542
     775.5     0.2815014     0.3146600
     776.5     0.2852900     0.3142094
     777.5     0.2852362     0.3133967
     778.5     0.2910650     0.3120938
     779.5     0.2872266     0.3124134
     780.5     0.2928647     0.3110911
     781.5     0.2936755     0.3106059
     782.5     0.2922211     0.3101722
     783.5     0.2905796     0.3098944
     784.5     0.2660546     0.3121419
     785.5     0.2895559     0.3089183
     786.5     0.2922253     0.3083059
     787.5     0.2931724     0.3078255
     788.5     0.2920177     0.3073476
     789.5     0.2915450     0.3068812
     790.5     0.2914117     0.3064200
     791.5     0.2492542     0.3063659
     792.5     0.2741273     0.3056958
     793.5     0.2779058     0.3060872
     794.5     0.2860840     0.3049938
     795.5     0.2638863     0.3066095
     796.5     0.2779543     0.3046622
     797.5     0.2802394     0.3039499
     798.5     0.2513426     0.3067199
     799.5     0.2810562     0.3029973
     800.5     0.2849425     0.3018472
     801.5     0.2842926     0.3013667
     802.5     0.2835751     0.3012970
     803.5     0.2697273     0.3021133
     804.5     0.2830661     0.2999732
     805.5     0.2856174     0.2994945
     806.5     0.2822657     0.2990456
     807.5     0.2818935     0.2985853
     808.5     0.2745676     0.2988481
     809.5     0.2821434     0.2975315
     810.5     0.2825140     0.2970349
     811.5     0.2839215     0.2965455
     812.5     0.2816167     0.2960860
     813.5     0.2765602     0.2961847
     814.5     0.2743965     0.2958653
     815.5     0.2808187     0.2946730
     816.5     0.2818915     0.2941635
     817.5     0.2805882     0.2936771
     818.5     0.2804182     0.2931967
     819.5     0.2807856     0.2927115
     820.5     0.2796794     0.2922383
     821.5     0.2794300     0.2917587
     822.5     0.2793424     0.2912843
