The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  701.15        633.47        174.98        137.40
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP 
    1162.0  0.0017153540  0.0017141911  0.0000874351  0.0001061289
    1163.0  0.0016732380  0.0016721060  0.0000844637  0.0001035233
    1164.0  0.0016374940  0.0016363880  0.0000819445  0.0001013117
    1165.0  0.0016142740  0.0016131840  0.0000802774  0.0000998752
    1166.0  0.0016054970  0.0016044130  0.0000795902  0.0000993321
    1167.0  0.0016056550  0.0016045710  0.0000794895  0.0000993419
    1168.0  0.0016053200  0.0016042350  0.0000793509  0.0000993211
    1169.0  0.0015931720  0.0015920961  0.0000784176  0.0000985695
    1170.0  0.0015620890  0.0015610340  0.0000762405  0.0000966462
    1171.0  0.0015131460  0.0015121270  0.0000728713  0.0000936182
    1172.0  0.0014547220  0.0014537440  0.0000688626  0.0000900036
    1173.0  0.0014026660  0.0014017239  0.0000651942  0.0000867829
    1174.0  0.0013712450  0.0013703250  0.0000627870  0.0000848389
    1175.0  0.0013709930  0.0013700729  0.0000623146  0.0000848232
    1176.0  0.0014026560  0.0014017130  0.0000638583  0.0000867823
    1177.0  0.0014583140  0.0014573300  0.0000669837  0.0000902260
    1178.0  0.0015245260  0.0015234920  0.0000708565  0.0000943225
    1179.0  0.0015858680  0.0015847890  0.0000745471  0.0000981175
    1180.0  0.0016297890  0.0016286770  0.0000772119  0.0001008350
    1181.0  0.0016486910  0.0016475640  0.0000783515  0.0001020045
    1182.0  0.0016403090  0.0016391880  0.0000777665  0.0001014859
    1183.0  0.0016092310  0.0016081320  0.0000757195  0.0000995631
    1184.0  0.0015640110  0.0015629450  0.0000727530  0.0000967654
    1185.0  0.0015178811  0.0015168471  0.0000696927  0.0000939112
    1186.0  0.0014836760  0.0014826680  0.0000673820  0.0000917949
    1187.0  0.0014715700  0.0014705691  0.0000664634  0.0000910459
    1188.0  0.0014859560  0.0014849440  0.0000672423  0.0000919358
    1189.0  0.0015226450  0.0015216050  0.0000694833  0.0000942057
    1190.0  0.0015735000  0.0015724220  0.0000726831  0.0000973512
    1191.0  0.0016247330  0.0016236150  0.0000760107  0.0001005188
    1192.0  0.0016664800  0.0016653300  0.0000788053  0.0001030964
    1193.0  0.0016896460  0.0016884780  0.0000804977  0.0001045183
    1194.0  0.0016939590  0.0016927860  0.0000810001  0.0001047621
    1195.0  0.0016823610  0.0016811950  0.0000804928  0.0001040010
    1196.0  0.0016651240  0.0016639690  0.0000795876  0.0001028583
    1197.0  0.0016524240  0.0016512770  0.0000789421  0.0001019489
    1198.0  0.0016542870  0.0016531360  0.0000791865  0.0001018775
    1199.0  0.0016751990  0.0016740310  0.0000805986  0.0001029081
    1200.0  0.0017125100  0.0017113111  0.0000829894  0.0001048702
    1201.0  0.0017592490  0.0017580130  0.0000858648  0.0001073335
    1202.0  0.0018027250  0.0018014550  0.0000883873  0.0001095277
    1203.0  0.0018332080  0.0018319150  0.0000899049  0.0001108750
    1204.0  0.0018404440  0.0018391450  0.0000897923  0.0001107750
    1205.0  0.0018204310  0.0018191470  0.0000878543  0.0001090168
    1206.0  0.0017709120  0.0017696650  0.0000840543  0.0001054947
    1207.0  0.0016949479  0.0016937579  0.0000786801  0.0001004163
    1208.0  0.0015988870  0.0015977690  0.0000722032  0.0000941732
    1209.0  0.0014940010  0.0014929610  0.0000652950  0.0000874298
    1210.0  0.0013937490  0.0013927830  0.0000587240  0.0000809713
    1211.0  0.0013123670  0.0013114610  0.0000532156  0.0000756178
    1212.0  0.0012584080  0.0012575430  0.0000492123  0.0000718664
    1213.0  0.0012343579  0.0012335110  0.0000468155  0.0000698614
    1214.0  0.0012331710  0.0012323250  0.0000456638  0.0000692059
    1215.0  0.0012440759  0.0012432230  0.0000452131  0.0000692827
    1216.0  0.0012549220  0.0012540621  0.0000448518  0.0000693973
    1217.0  0.0012579380  0.0012570760  0.0000441908  0.0000690970
    1218.0  0.0012504230  0.0012495660  0.0000431057  0.0000682222
