"lambda","Cabs","Csca","g"
2.52e-06,5.07193271832544e-10,1.86293493609512e-08,0.872895212635531
2.54e-06,5.1938210427862e-10,1.86171616711224e-08,0.87298562404123
2.56e-06,5.31722278619297e-10,1.86048442117225e-08,0.873076785776166
2.58e-06,5.44213363378209e-10,1.85923052201786e-08,0.873169451949911
2.6e-06,5.56853541112867e-10,1.85796804497768e-08,0.873263069822436
2.62e-06,5.69642173929709e-10,1.85669021292622e-08,0.873357856476552
2.64e-06,5.82577177848076e-10,1.85539847103418e-08,0.873453488742692
2.66e-06,5.95657980722e-10,1.85408799129202e-08,0.873550937635273
2.68e-06,6.08883106877333e-10,1.85276452009135e-08,0.873648948945068
2.7e-06,6.22250663128643e-10,1.8514280061668e-08,0.873748365674712
2.72e-06,6.3575974817142e-10,1.85007587513853e-08,0.873848582879557
2.74e-06,6.49408155178544e-10,1.84871382622918e-08,0.873950016366695
2.76e-06,6.63195350914268e-10,1.84733386853172e-08,0.874052587582163
2.78e-06,6.77119156242476e-10,1.84594335791367e-08,0.8741564220983
2.8e-06,6.9117825140922e-10,1.84453629745502e-08,0.874261377439504
2.82e-06,7.05370703881866e-10,1.84311696298202e-08,0.874367126848791
2.84e-06,7.19694792422047e-10,1.84168508879776e-08,0.874474041324274
2.86e-06,7.34148829751e-10,1.84023940847711e-08,0.874582332714944
2.88e-06,7.4873133456042e-10,1.83878156230858e-08,0.87469105515687
2.9e-06,7.63441017677025e-10,1.83730868933398e-08,0.874801485012193
2.92e-06,7.78274544035182e-10,1.83582612494778e-08,0.874912659444092
2.94e-06,7.93231919675713e-10,1.834330432396e-08,0.875025210425536
2.96e-06,8.0831012165522e-10,1.83282149690653e-08,0.875138548779319
2.98e-06,8.23507982405974e-10,1.83130209504356e-08,0.875252698347995
3e-06,8.38822421388118e-10,1.82977296858437e-08,0.875368542930652
3.02e-06,8.54252998138605e-10,1.82822746428138e-08,0.875484643801225
3.04e-06,8.6979711163046e-10,1.82667356801569e-08,0.875602100784665
3.06e-06,8.85452513873505e-10,1.82510953981302e-08,0.875720398405575
3.08e-06,9.01218222456911e-10,1.82353461960713e-08,0.875840027986139
3.1e-06,9.17090781610026e-10,1.82194577760435e-08,0.875960405121466
3.12e-06,9.33069902798389e-10,1.82034917712652e-08,0.876081852992025
3.14e-06,9.49151657152351e-10,1.81874303231179e-08,0.876204436040465
3.16e-06,9.65335790090802e-10,1.81712324705847e-08,0.876327681774899
3.18e-06,9.81619008716976e-10,1.81549202884604e-08,0.876451893171507
3.2e-06,9.97997234201495e-10,1.81385303477781e-08,0.876577186031641
3.22e-06,1.01447410064611e-09,1.81220819170112e-08,0.876703625861613
3.24e-06,1.03104241712338e-09,1.81055037715354e-08,0.876830010697409
3.26e-06,1.04770262698988e-09,1.80888555956201e-08,0.876958548950905
3.28e-06,1.06445327038556e-09,1.80721035625146e-08,0.877086950305561
3.3e-06,1.08128692763485e-09,1.80552415203702e-08,0.877217089509103
3.32e-06,1.09820938211992e-09,1.8038317252396e-08,0.877347538772731
3.34e-06,1.11521475933242e-09,1.80213182240586e-08,0.877478949728824
3.36e-06,1.13229840783016e-09,1.80042292531209e-08,0.877610892694165
