"Wavelength (um)","Refractive index","Refractive index (calculated)","Extinction coefficient"
16.408,1.61267,1.622245854,0.00545
16.618,1.60926,1.620517245,0.0077
16.834,1.60441,1.619326605,0.00635
17.056,1.6007,1.616911752,0.00491
17.283,1.59761,1.613486254,0.00416
17.517,1.59529,1.609727497,0.00565
17.757,1.59207,1.60738168,0.00961
18.003,1.5889,1.606453472,0.0121
18.257,1.5865,1.605355675,0.0139
18.518,1.58461,1.604989562,0.0182
18.786,1.58432,1.606611395,0.0223
19.062,1.58322,1.608491416,0.0233
19.347,1.58226,1.609688744,0.0261
19.64,1.58606,1.61557593,0.0363
19.942,1.5961,1.63381608,0.0448
