The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  348.03        253.88        117.13         65.53
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP  
     991.0  0.0003008377  0.0002998227  0.0000033017  0.0000070475
     992.0  0.0002984117  0.0002974033  0.0000032665  0.0000069908
     993.0  0.0002945570  0.0002935603  0.0000032106  0.0000069008
     994.0  0.0002891999  0.0002882197  0.0000031332  0.0000067759
     995.0  0.0002822778  0.0002813197  0.0000030335  0.0000066149
     996.0  0.0002740383  0.0002731065  0.0000029154  0.0000064238
     997.0  0.0002649144  0.0002640122  0.0000027852  0.0000062133
     998.0  0.0002555827  0.0002547108  0.0000026527  0.0000059995
     999.0  0.0002467099  0.0002458667  0.0000025275  0.0000057984
    1000.0  0.0002388029  0.0002379853  0.0000024171  0.0000056221
    1001.0  0.0002320713  0.0002312754  0.0000023247  0.0000054754
    1002.0  0.0002262806  0.0002255034  0.0000022476  0.0000053524
    1003.0  0.0002210320  0.0002202718  0.0000021807  0.0000052434
    1004.0  0.0002156012  0.0002148587  0.0000021148  0.0000051305
    1005.0  0.0002094942  0.0002087716  0.0000020431  0.0000050014
    1006.0  0.0002021752  0.0002014770  0.0000019588  0.0000048428
    1007.0  0.0001935867  0.0001929171  0.0000018600  0.0000046529
    1008.0  0.0001838476  0.0001832106  0.0000017479  0.0000044342
    1009.0  0.0001734417  0.0001728398  0.0000016275  0.0000041983
    1010.0  0.0001629552  0.0001623886  0.0000015058  0.0000039593
    1011.0  0.0001529243  0.0001523917  0.0000013891  0.0000037299
    1012.0  0.0001437590  0.0001432573  0.0000012826  0.0000035203
    1013.0  0.0001356080  0.0001351339  0.0000011882  0.0000033340
    1014.0  0.0001285548  0.0001281045  0.0000011068  0.0000031734
    1015.0  0.0001225611  0.0001221310  0.0000010377  0.0000030378
