The columns below contain (from left to right):
Wavenumber, spectral surface albedo, spectral surface albedo weighted by 
the calculated spectral total downwelling SW flux at the surface, and the 
Spectral Solar Function (spectral irradiance) a la Kurucz incident at
TOA (no solar zenith or Earth-Sun distance adjustment --same in all files)
    wvn(cm-1)  sfcalb      sfcalb_w  SSF(mWm-2/cm-1)
    1371.0     0.00937     0.00001    4.49020004
    1372.0     0.00937     0.00001    4.49666977
    1373.0     0.00937     0.00001    4.50326014
    1374.0     0.00937     0.00001    4.50959015
    1375.0     0.00937     0.00001    4.51620007
    1376.0     0.00937     0.00001    4.52178001
    1377.0     0.00937     0.00001    4.52578020
    1378.0     0.00937     0.00002    4.52537012
    1379.0     0.00937     0.00002    4.54087019
    1380.0     0.00937     0.00002    4.54050016
    1381.0     0.00937     0.00002    4.55448008
    1382.0     0.00937     0.00003    4.56086016
    1383.0     0.00937     0.00002    4.56690979
    1384.0     0.00937     0.00002    4.57299995
    1385.0     0.00937     0.00002    4.57429981
    1386.0     0.00937     0.00001    4.57465982
    1387.0     0.00937     0.00001    4.58920002
    1388.0     0.00937     0.00001    4.59736013
    1389.0     0.00937     0.00001    4.60517979
    1390.0     0.00937     0.00000    4.60284996
    1391.0     0.00937     0.00000    4.61848021
    1392.0     0.00937     0.00000    4.62446022
    1393.0     0.00937     0.00000    4.62798977
    1394.0     0.00937     0.00000    4.63426018
    1395.0     0.00937     0.00000    4.64174986
    1396.0     0.00937     0.00000    4.64976978
    1397.0     0.00937     0.00000    4.65693998
    1398.0     0.00937     0.00000    4.66229010
    1399.0     0.00937     0.00000    4.66873980
    1400.0     0.00937     0.00000    4.67612982
    1401.0     0.00937     0.00000    4.68107986
    1402.0     0.00937     0.00000    4.68822002
    1403.0     0.00937     0.00000    4.68658018
    1404.0     0.00937     0.00000    4.69701004
    1405.0     0.00937     0.00000    4.70532990
    1406.0     0.00937     0.00000    4.71357012
    1407.0     0.00937     0.00000    4.72019005
    1408.0     0.00937     0.00001    4.72588015
    1409.0     0.00937     0.00001    4.73256016
    1410.0     0.00937     0.00001    4.73606014
    1411.0     0.00937     0.00001    4.74560022
    1412.0     0.00937     0.00000    4.74931002
    1413.0     0.00937     0.00000    4.75732994
    1414.0     0.00937     0.00000    4.76549006
    1415.0     0.00937     0.00000    4.76149988
    1416.0     0.00937     0.00000    4.77767992
    1417.0     0.00937     0.00000    4.77923012
    1418.0     0.00937     0.00000    4.78775978
    1419.0     0.00937     0.00000    4.79906988
    1420.0     0.00937     0.00000    4.80386019
    1421.0     0.00937     0.00000    4.81061983
    1422.0     0.00937     0.00000    4.81678009
    1423.0     0.00937     0.00000    4.82145023
    1424.0     0.00937     0.00000    4.80103016
    1425.0     0.00937     0.00000    4.81449986
    1426.0     0.00937     0.00000    4.83425999
    1427.0     0.00937     0.00000    4.84902000
    1428.0     0.00937     0.00000    4.85561991
    1429.0     0.00937     0.00000    4.85975981
    1430.0     0.00937     0.00000    4.86754990
    1431.0     0.00937     0.00000    4.87165022
    1432.0     0.00937     0.00000    4.88115978
