The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  773.07        675.04        173.55        132.34
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP  
    1144.0  0.0017620740  0.0017593730  0.0000102161  0.0000134823
    1145.0  0.0017435910  0.0017409180  0.0000100466  0.0000133409
    1146.0  0.0016998940  0.0016972889  0.0000096705  0.0000130065
    1147.0  0.0016385190  0.0016360120  0.0000091491  0.0000125369
    1148.0  0.0015699170  0.0015675210  0.0000085685  0.0000120120
    1149.0  0.0015070520  0.0015047580  0.0000080350  0.0000115310
    1150.0  0.0014624411  0.0014602160  0.0000076514  0.0000111897
    1151.0  0.0014456070  0.0014434070  0.0000074955  0.0000110609
    1152.0  0.0014606840  0.0014584550  0.0000076019  0.0000111763
    1153.0  0.0015047570  0.0015024520  0.0000079479  0.0000115134
    1154.0  0.0015695040  0.0015670880  0.0000084672  0.0000120089
    1155.0  0.0016427080  0.0016401670  0.0000090604  0.0000125690
    1156.0  0.0017119370  0.0017092770  0.0000096253  0.0000130987
    1157.0  0.0017664050  0.0017636510  0.0000100724  0.0000135154
    1158.0  0.0017989620  0.0017961510  0.0000103411  0.0000137645
    1159.0  0.0018056571  0.0018028320  0.0000104002  0.0000138158
    1160.0  0.0017869890  0.0017841930  0.0000102540  0.0000136729
    1161.0  0.0017463340  0.0017436030  0.0000099343  0.0000133619
    1162.0  0.0016917801  0.0016891380  0.0000095059  0.0000129444
    1163.0  0.0016334020  0.0016308550  0.0000090494  0.0000124978
    1164.0  0.0015826781  0.0015802130  0.0000086502  0.0000121097
    1165.0  0.0015477160  0.0015453090  0.0000083671  0.0000118422
    1166.0  0.0015307820  0.0015284010  0.0000082141  0.0000117126
    1167.0  0.0015261300  0.0015237560  0.0000081479  0.0000116770
    1168.0  0.0015222420  0.0015198740  0.0000080863  0.0000116473
    1169.0  0.0015060240  0.0015036820  0.0000079387  0.0000115232
    1170.0  0.0014690890  0.0014668060  0.0000076489  0.0000112406
    1171.0  0.0014118310  0.0014096400  0.0000072212  0.0000108024
    1172.0  0.0013444599  0.0013423770  0.0000067248  0.0000102870
    1173.0  0.0012838970  0.0012819110  0.0000062728  0.0000098236
    1174.0  0.0012472600  0.0012453310  0.0000059783  0.0000095432
    1175.0  0.0012461140  0.0012441850  0.0000059198  0.0000095345
    1176.0  0.0012816699  0.0012796820  0.0000061086  0.0000098065
    1177.0  0.0013453930  0.0013432980  0.0000064938  0.0000102941
    1178.0  0.0014214580  0.0014192370  0.0000069743  0.0000108761
    1179.0  0.0014924241  0.0014900840  0.0000074347  0.0000114191
    1180.0  0.0015430340  0.0015406080  0.0000077696  0.0000118063
    1181.0  0.0015639210  0.0015614590  0.0000079095  0.0000119662
    1182.0  0.0015523290  0.0015498840  0.0000078299  0.0000118774
    1183.0  0.0015129710  0.0015105890  0.0000075580  0.0000115763
    1184.0  0.0014566260  0.0014543370  0.0000071654  0.0000111452
    1185.0  0.0013986310  0.0013964360  0.0000067552  0.0000107015
    1186.0  0.0013545740  0.0013524500  0.0000064343  0.0000103644
