Flux units are Wm-2/cm-1   
    wavn(cm-1) flxtoa_up     flxsfc_dn
     435.5     0.3083776     0.4141374
     436.5     0.2740858     0.4156945
     437.5     0.3180434     0.4142898
     438.5     0.3227420     0.4139048
     439.5     0.3178418     0.4147719
     440.5     0.3041242     0.4161000
     441.5     0.2361957     0.4184045
     442.5     0.2429613     0.4189690
     443.5     0.2661793     0.4195540
     444.5     0.3090321     0.4188522
     445.5     0.3207994     0.4185623
     446.5     0.2730048     0.4211299
     447.5     0.3036825     0.4206389
     448.5     0.3311315     0.4188698
     449.5     0.3264629     0.4196073
     450.5     0.3218035     0.4204965
     451.5     0.3072762     0.4222955
     452.5     0.2718869     0.4238514
     453.5     0.2936529     0.4239432
     454.5     0.3133974     0.4232638
     455.5     0.3011572     0.4244476
     456.5     0.2523420     0.4258444
     457.5     0.2116530     0.4267029
     458.5     0.2485484     0.4269117
     459.5     0.2985413     0.4262744
     460.5     0.3124365     0.4261045
     461.5     0.2913335     0.4277102
     462.5     0.3308540     0.4255474
     463.5     0.3265068     0.4257571
     464.5     0.3395660     0.4249496
     465.5     0.3325103     0.4257672
     466.5     0.3177159     0.4277140
     467.5     0.3014171     0.4295599
     468.5     0.2979026     0.4307429
     469.5     0.3222874     0.4293044
     470.5     0.3041246     0.4308228
     471.5     0.2788795     0.4320315
     472.5     0.1981725     0.4332312
     473.5     0.2700059     0.4329428
     474.5     0.3176666     0.4313238
     475.5     0.3326094     0.4305422
     476.5     0.3158675     0.4327936
     477.5     0.3446869     0.4296691
     478.5     0.3459273     0.4295688
     479.5     0.3476832     0.4295976
     480.5     0.3302843     0.4322577
     481.5     0.3261945     0.4330653
     482.5     0.3224872     0.4333153
     483.5     0.2584172     0.4364240
     484.5     0.2612134     0.4367239
     485.5     0.3182201     0.4352814
     486.5     0.3186831     0.4353893
     487.5     0.3468714     0.4325024
     488.5     0.3514525     0.4319421
     489.5     0.3424714     0.4342294
     490.5     0.3452695     0.4340959
     491.5     0.2927850     0.4385861
     492.5     0.2838667     0.4387980
     493.5     0.3430550     0.4357382
     494.5     0.3402881     0.4358986
     495.5     0.3581610     0.4328569
     496.5     0.3589291     0.4328938
     497.5     0.3588015     0.4331902
     498.5     0.3555736     0.4343733
     499.5     0.3438799     0.4365192
     500.5     0.3300392     0.4387899
     501.5     0.2959255     0.4418232
     502.5     0.2485866     0.4429330
     503.5     0.3218179     0.4409277
     504.5     0.3174520     0.4415099
     505.5     0.3282748     0.4402311
     506.5     0.2579944     0.4433782
     507.5     0.2764714     0.4434705
     508.5     0.3353619     0.4399463
     509.5     0.3488418     0.4386066
     510.5     0.3104162     0.4431563
     511.5     0.3319430     0.4404812
